Sigla;Nome;Município
UERGS;UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL;Porto Alegre
UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;São Leopoldo
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;Rio Grande
UNIVATES;UNIVERSIDADE DO VALE DO TAQUARI;Lajeado
UCPEL;UNIVERSIDADE CATÓLICA DE PELOTAS;Pelotas
UPF;UNIVERSIDADE DE PASSO FUNDO;Passo Fundo
IPA;CENTRO UNIVERSITÁRIO METODISTA IPA;Porto Alegre
FEEVALE;UNIVERSIDADE FEEVALE;Novo Hamburgo
ATITUS EDUCAÇÃO;FACULDADE ATITUS EDUCAÇÃO PASSO FUNDO;Passo Fundo
UNISC;UNIVERSIDADE DE SANTA CRUZ DO SUL;Santa Cruz do Sul
UNICRUZ;UNIVERSIDADE DE CRUZ ALTA;Cruz Alta
UFN;UNIVERSIDADE FRANCISCANA;Santa Maria
FACCAT;FACULDADES INTEGRADAS DE TAQUARA;Taquara
UNIPAMPA;UNIVERSIDADE FEDERAL DO PAMPA;Bagé
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Porto Alegre
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Pelotas
IFSUL;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA SUL-RIO-GRANDENSE;Pelotas
UNILASALLE;UNIVERSIDADE LA SALLE;Canoas
IFFARROUPILHA;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FARROUPILHA;Santa Maria
IC;INSTITUTO DE CARDIOLOGIA DO RIO GRANDE DO SUL;Porto Alegre
UFCSPA;UNIVERSIDADE FEDERAL DE CIÊNCIAS DA SAÚDE DE PORTO ALEGRE;Porto Alegre
HCPA;HOSPITAL DE CLÍNICAS DE PORTO ALEGRE;Porto Alegre
IFRS;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL;Bento Gonçalves
UCS;UNIVERSIDADE DE CAXIAS DO SUL;Caxias do Sul
EST;FACULDADES EST;São Leopoldo
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;Porto Alegre
ULBRA;UNIVERSIDADE LUTERANA DO BRASIL;Canoas
UNIRITTER;CENTRO UNIVERSITÁRIO RITTER DOS REIS;Porto Alegre
URI;UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES;Erechim
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;Santa Maria
UNIJUÍ;UNIVERSIDADE REGIONAL DO NOROESTE DO ESTADO DO RIO GRANDE DO SUL;Ijuí
FEPAGRO;FUNDAÇÃO ESTADUAL DE PESQUISA AGROPECUÁRIA;Porto Alegre
FACS-GHC;FACULDADE DE CIÊNCIAS DA SAÚDE DO GRUPO HOSPITALAR CONCEIÇÃO;Porto Alegre
FMP;FACULDADE DE DIREITO DA FUNDAÇÃO ESCOLA SUPERIOR DO MINISTÉRIO PÚBLICO;Porto Alegre
FZB/RS;FUNDACAO ZOOBOTANICA DO RIO GRANDE DO SUL;Porto Alegre
UFRGS-LITORAL NORTE;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL - CAMPUS LITORAL NORTE;Tramandaí
UNIPAMPA-CAÇAPAVA DO SUL;UNIVERSIDADE FEDERAL DO PAMPA - CAMPUS CAÇAPAVA DO SUL;Caçapava do Sul
IPVDF;CENTRO ESTADUAL DE DIAGNÓSTICO E PESQUISA EM SAÚDE ANIMAL DESIDÉRIO FINAMOR;Eldorado do Sul
SEMA-RS;SECRETARIA DO MEIO AMBIENTE E INFRAESTRUTURA DO RIO GRANDE DO SUL;Porto Alegre
IFRS-CANOAS;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL - CAMPUS CANOAS;Canoas
