Sigla IES;Nome;Autores
FURG;MÉTODO DE COLHEITA DE MICROALGAS ATRAVÉS DE COAGULAÇÃO/FLOCULAÇÃO UTILIZANDO FLOCULANTE VERDE A BASE DE QUITINA SOLUBILIZADA EM MEIO AQUOSO;['LUIZ ANTONIO DE ALMEIDA PINTO', 'VIVIANE DE CARVALHO ARABIDIAN', 'ANDREI VALLERAO IGANSI', 'FILIPE ECHART DE OLIVEIRA', 'NAURO DA SILVEIRA JUNIOR', 'TITO ROBERTO SANT ANNA CADAVAL JUNIOR', 'FABIO FELIPE GABRIEL ROSELET', 'ELIEZER QUADRO ORESTE', 'FELIPE KESSLER']
UNICAMP;(PATENTE CONCEDIDA) COLETOR DE RESÍDUOS PARA TANQUES DE COMBUSTÍVEIS;['ELIAS BASILE TAMBOURGI', 'JOSE CARLOS CURVELO SANTANA', 'THADEU ALFREDO FARIAS SILVA']
FIOCRUZ;APTÂMEROS PARA DIAGNÓSTICO DE CÂNCER;['WIM MAURITS SYLVAIN DEGRAVE', 'ALINE DOS SANTOS MOREIRA', 'MARIANA CALDAS WAGHABI']
UNIVAP;CAPACETE AERONÁUTICO COM PROTEÇÃO BALÍSTICA EM COMPOSTO POLIMÉRICO REFORÇADO COM FIBRAS DE PARA-ARAMIDA E FIBRA DE CARBONO;['ERIKA PETERSON GONCALVES', 'SIDINEY PERUCHI DE GODOY', 'ARIANDY BOTEZINI', 'LUIZ FELIPE PERUCHI DE GODOY GUIDUGLI']
UFPA;OTIMIZAÇÃO DE SISTEMA DE BLINDAGEM MULTICAMADAS DE COMPÓSITO DE MATRIZ EPÓXI COM FIBRA DE CAPIM-CAPETA (SPOROBOLUS INDICUS) MERCERIZADA COM HIDRÓXIDO DE SÓDIO;['SERGIO NEVES MONTEIRO', 'DOUGLAS SANTOS SILVA', 'ARTUR CAMPOSO PEREIRA']
UFPA;PROCESSO DE PREPARAÇÃO DE VACINA RECOMBINANTE CONTRA NEUROTOXINAS BOTULÍNICAS TIPO C E D E VACINA OBTIDA;['FELIPE MASIERO SALVARANI']
UFPA;CATAMARÂ SOLAR INTEGRADO COM UM SISTEMA DE MONITORAMENTO REMOTO.;['HITO BRAGA DE MORAES', 'WILSON ANTONIO COSMO MACEDO', 'CAIO MATEUS MACHADO CARDOSO', 'ARTUR ANDRADE MACHADO', 'JOEL ALISON RIBEIRO CARVALHO', 'CARLOS EDUARDO MOREIRA RODRIGUES', 'ELEN PRISCILA DE SOUZA LOBATO', 'FILIPE CAVALCANTI FERNANDES', 'JASMINE PRISCYLA LEITE DE ARAUJO', 'UBIRATAN HOLANDA BEZERRA', 'GERVASIO PROTASIO DOS SANTOS CAVALCANTE', 'MARIA EMILIA DE LIMA TOSTES', 'FABRICIO DE SOUZA FARIAS', 'MIERCIO CARDOSO DE ALCANTARA NETO', 'FABRICIO JOSE BRITO BARROS']
UFPA;QUADRO ELÉTRICO PARA UTILIZAÇÃO DE BATERIAS DE LÍTIO 48 V EM NANO/MICRORREDES DE DISTRIBUIÇÃO EM CORRENTE CONTÍNUA DE ESTRUTURA ABERTA DE 24 V SUPRIDAS POR ENERGIA SOLAR FOTOVOLTAICA;['MARCOS ANDRE BARROS GALHARDO', 'WILSON NEGRAO MACEDO']
UECE;MÉTODO DE SÍNTESE DE CHALCONAS SINTÉTICAS (CC-2-F, CC-4-BR, CC-4- CL, CC-4-OCH3) COM PROPRIEDADES ANSIOLÍTICAS E ANTICONVULSIVANTES;['HELCIO SILVA DOS SANTOS', 'ANTONIO WLISSES DA SILVA', 'JESYKA MACEDO GUEDES', 'JANE EIRE SILVA ALENCAR DE MENEZES', 'MARIA KUEIRISLENE AMANCIO FERREIRA', 'MARCIA MACHADO MARINHO', 'EMMANUEL SILVA MARINHO']
UFPB-BANANEIRAS;PROCESSO DE SECAGEM CONVECTIVA PARA OBTENÇÃO DE FARINHA DE FLORES DE HIBISCO COLIBRI (MALVAVISCUS ARBOREUS);['MONICA TEJO CAVALCANTI', 'ANNA IZAURA BALBINO DOS SANTOS', 'EMMANUEL MOREIRA PEREIRA', 'INACIA DOS SANTOS MOREIRA', 'LAIS LEITE BARRETO']
