Sigla da IES;Instituição;Patente;Autores
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;MÉTODO DE COLHEITA DE MICROALGAS ATRAVÉS DE COAGULAÇÃO/FLOCULAÇÃO UTILIZANDO FLOCULANTE VERDE A BASE DE QUITINA SOLUBILIZADA EM MEIO AQUOSO;['LUIZ ANTONIO DE ALMEIDA PINTO', 'VIVIANE DE CARVALHO ARABIDIAN', 'ANDREI VALLERAO IGANSI', 'FILIPE ECHART DE OLIVEIRA', 'NAURO DA SILVEIRA JUNIOR', 'TITO ROBERTO SANT ANNA CADAVAL JUNIOR', 'FABIO FELIPE GABRIEL ROSELET', 'ELIEZER QUADRO ORESTE', 'FELIPE KESSLER']
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;SISTEMA DE MONITORAMENTO E CONTROLE ANTI-APNEIA OBSTRUTIVA DO SONO ATRAVÉS DE MECANISMO INTRABUCAL E MECANISMO INTRABUCAL RELACIONADO;['CESAR AUGUSTO MISSIO MARCON', 'SAMUEL KAFER RICARDO FONTOURA', 'NICOLE ARGENTA PIMENTEL', 'GUILHERME WOLFF', 'ALINE TEMPEL COSTA']
UCS;UNIVERSIDADE DE CAXIAS DO SUL;COMPOSIÇÃO, PROCESSO DE OBTENÇÃO DA COMPOSIÇÃO, MÉTODO DE APLICAÇÃO DA COMPOSIÇÃO E USO DA COMPOSIÇÃO;['GABRIEL FERNANDES PAULETTI', 'RAFAELA MENEGUZZO', 'WENDEL PAULO SILVESTRE']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;ESPONJA POROSA DE QUITOSANA PARA REMOÇÃO DE ÓLEO LUBRIFICANTE USADO (OLU) EM SISTEMA AQUOSO;['LUIZ ANTONIO DE ALMEIDA PINTO', 'ARIANE BORGES RIBEIRO', 'FRANCISCA ZUCHOSKI RIZZI', 'VIVIANE DE CARVALHO ARABIDIAN', 'ALICE NERI DA SILVA SOUSA', 'RAFAEL GERHARDT', 'BRUNA SILVA DE FARIAS', 'ROMULO HENRIQUE BATISTA DE FARIAS', 'NAURO DA SILVEIRA JUNIOR', 'TITO ROBERTO SANT ANNA CADAVAL JUNIOR']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;PROCESSO DE EDIÇÃO GÊNICA POR CRISP/CAS9 PARA GERAÇÃO DE LINHAGENS CELULARES SUÍNAS COM KNOCKOUT DE GENES RELACIONADOS AO CÂNCER DE BEXIGA;['FABIANA KOMMLING SEIXAS', 'ISADORA ANDRE ROSA LOPES', 'JULIA DAME FONSECA PASCHOAL', 'BRUNA SILVEIRA PACHECO', 'TIAGO VEIRAS COLLARES']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;PRODUTO DE ADUBAÇÃO FOLIAR PARA PLANTAS DE SOJA;['TIAGO ZANATTA AUMONDE', 'BENHUR SCHWARTZ BARBOSA', 'LUCIANA DALLEGRAVE SCHROEDER', 'TIAGO PEDO']
UCS;UNIVERSIDADE DE CAXIAS DO SUL;COOLING SYSTEM AND METHOD FOR BATTERY CELL;['GIOVANI DAMBROS TELLI', 'SYVIE LORENTE', 'GUNGOR, SAHIN']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;DESENVOLVIMENTO DE NANOEMULSÕES PICKERING DE NANOFIBRAS DE QUITINA COM EXTRATO BIOATIVO DE RESÍDUO DE LÚPULO;['LUIZ ANTONIO DE ALMEIDA PINTO', 'GABRIEL COSTA COELHO', 'LISIANE BALDEZ DA CUNHA', 'MICHELI LEGEMANN MONTE', 'BRUNA SILVA DE FARIAS', 'TITO ROBERTO SANT ANNA CADAVAL JUNIOR']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;PROCESSO PARA OBTENÇÃO DE FILME DENSO ULTRAFINO, COMPOSIÇÃO DE FILME POLIMÉRICO DENSO ULTRAFINO E USO DOS FILMES PARA SEPARAÇÃO DE GASES;['NILSON ROMEU MARCILIO', 'ISABEL CRISTINA TESSARO', 'LILIANE DAMARIS POLLO', 'JANICE BOTELHO SOUZA HAMM', 'ALAN AMBROSI']
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;HYDRAULIC CEMENT COMPOSITION, PROCESS AND USE;['SANDRA MARA OLIVEIRA EINLOFT', 'DELLYO RICARDO DOS SANTOS ALVARES', 'RENAN BORDULIS MARTEL', 'GABRIELA GONCALVES DIAS PONZI', 'DARLAN PONTIN', 'AMANDA SOFIA DE GUIMARAES E STEPANHA', 'VICTOR HUGO JACKS MENDES DOS SANTOS', 'SONIA MARIA CABRAL DE MENEZES', 'FELIPE DALLA VECCHIA', 'MARTA KERBER SCHUTZ']
