Sigla;Nome;Responsável
UFRRJ;Observatório Sócio-ambiental de Barragens;CARLOS BERNARDO VAINER
UFCG;Uso de bionanocompósitos de quitosana na preparação de dispositivos para liberação controlada de fármacos;DANIELA DE LOURDES ANJOS COUTINHO SIMOES ANDRADE
UFPA;CÁTEDRA UNESCO DE COOPERAÇÃO SUL-SUL PARA O DESENVOLVIMENTO SUSTENTÁVEL;LUIS EDUARDO ARAGON VACA
PUC-RIO;VISUALIZAÇÃO, STORYTELLING E ENTRETENIMENTO DIGITAL;BRUNO FEIJO
UFPR;PROJETO DE ESTUDOS DE RECUPERAÇÃO DE METAIS E REATIVAÇÃO DE CATALISADOR DE FCC ATRAVÉS DO PROCESSO DE REMEDIAÇÃO ELETROCINÉTICA;MARIA JOSE JERONIMO DE SANTANA PONTE
UNB;Vaga-mundo: poéticas nomâdes;KARINA E SILVA DIAS
UFPA;PESQUISA, DESENVOLVIMENTO E INOVAÇÃO TECNOLÓGICA DE PRODUTOS FARMACÊUTICOS, COSMÉTICOS E NUTRACÊUTICOS A PARTIR DE MATÉRIAS PRIMAS DE ORIGEM NATURAL, SINTÉTICA OU BIOTECNOLÓGICA.;JOSE OTAVIO CARRERA SILVA JUNIOR
UFMG;PRESERVAÇÃO E GESTÃO DO PATRIMÔNIO CULTURAL EM MINAS GERAIS: CONCEITUAÇÕES E ANÁLISE CRÍTICA DE MOBILIARIO URBANO PARA CENTROS HISTÓRICOS: UM ESTUDO DE CASO EM SÃO JOÃO DEL -REI;ANDRE GUILHERME DORNELLES DANGELO
UFRA;UTILIZAÇÃO DE PRODUTOS AGRÍCOLAS REGIONAIS COMO ALIMENTAÇÃO COMPLEMENTAR EM PEIXES TROPICAIS;GLAUBER DAVID ALMEIDA PALHETA
UEL;Explantes teciduais: modelos experimentais para avaliações de saúde animal e humana;ANA PAULA FREDERICO RODRIGUES LOUREIRO BRACARENSE
UFMS;IMPLANTAÇÃO DE CÉLULAS-TRONCO MESENQUIMAIS AUTÓLOGAS EM DOIS DIFERENTES ARCABOUÇOS PARA RECONSTITUIÇÃO DA CARTILAGEM ARTICULAR DE JOELHOS DE OVINOS.;FABRICIO DE OLIVEIRA FRAZILIO
UNEB;Desenvolvimento tecnológio de objetos de aprendizagem;MARCUS TULIO DE FREITAS PINHEIRO
UNEB;Gestão dos cursos UAB UNEB;MARCUS TULIO DE FREITAS PINHEIRO
ITA;Veículo Lançador de Microssatélites;RODRIGO CESAR ROCHA LACERDA
UNP;DESENVOLVIMENTO DE BIOFÁRMACOS COM NANOTECNOLOGIA;AMALIA CINTHIA MENESES DO REGO
ITA;Sensores eletromagnéticos e RF MEMS com aplicações aeronáuticas;ANTONIO CARLOS DA CUNHA MIGLIANO
UFOP;Aspectos técnicos e econômicos da produção e utilização do biogás;PAULO SANTOS ASSIS
UFMG;DESENVOLVIMENTO DE MATÉRIAIS COMPÓSITOS DE ALTO DESEMPENHO;JUAN CARLOS CAMPOS RUBIO
