Sigla da IES;Instituição;Projeto;Responsável
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Produção e inovação em leite e derivados, ovos e mel;MARCIA MONKS JANTZEN
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Avaliação e controle em carne, pescado e derivados;CESAR AUGUSTO MARCHIONATTI AVANCINI
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Inspeção de leite e derivados, ovos e mel;GUIOMAR PEDRO BERGMANN
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Inspeção de carne, pescado e derivados;SUSANA CARDOSO
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;FOMENTO À FORMAÇÃO DE RECURSOS HUMANOS EM GEOCIÊNCIAS POR MEIO DA CRIAÇÃO DO PRH-PB 15;JAIR WESCHENFELDER
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;REDE DE COOPERAÇÃO TECNÓLOGICA EM HIV/AIDS;RICARDO DE SOUZA KUCHENBECKER
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;DESENVOLVIMENTO DE UM SOFTWARE PARA PROCESSAMENTO E ANÁLISE DE SINAIS BIOLÓGICOS UTILIZADOS EM BIOMECÂNICA;JEFFERSON FAGUNDES LOSS
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;MELHORIA DE PROCESSO DE SOFTWARE DE FORMA ITERATIVA E INCREMENTAL;RAFAEL PRIKLADNICKI
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Intrumentação aplicada à indústria agropecuária;ALEXANDRE BALBINOT
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Produção de Videoaulas de Matemática com tradução em Libras;TATIANA BOLIVAR LEBEDEFF
