Sigla;Nome;Tipo Produção;Autores
UNESP-IFT;A Study of Dense Nuclear Matter in a Meson-Nucleon Model Including Quark-Exchange Effects;DISSERTAÇÃO;['GENILSON ALVES CARDOSO DA SILVA']
UNIRIO;O Processo de Tradução Intersemiótica para a Língua de Sinais por meio de Avatares usando a Linguagem Simples;TESE;['ANDRE LUIZ DA CUNHA SILVA']
UFU;DESENVOLVIMENTO DE PROCEDIMENTOS ANALÍTICOS E APLICAÇÕES IoT UTILIZANDO SENSORES ÓTICOS PARA DETECÇÃO DE ADULTERAÇÕES EM ALIMENTOS E CONTAMINAÇÃO DE ÁGUA;TESE;['ALEGRE DE NASCIMENTO SANTANA CADEADO']
USP-SÃO CARLOS;Word co-occurrence network analysis using Word Embedding;TESE;['LAURA VANESSA CRUZ QUISPE']
UFMG;Transporte de energia em uma cadeia de osciladores clássicos altamente anarmônicos ;DISSERTAÇÃO;['GUILHERME ANTONIO DE SOUZA']
ITA;CLASSIFICAÇÃO POR APRENDIZADO DE MÁQUINA EM NFT'S BASEADO EM COMPORTAMENTOS ANÔMALOS;DISSERTAÇÃO;['ROGERIO ZUPO BRAGA']
UNICAMP;Análise Combinada dos Sinais de Carga e Luz na Detecção de Neutrinos Oscilados no Experimento DUNE;DISSERTAÇÃO;['LUIS GUSTAVO PORTO PAIXAO']
UFRJ;CONTROLE ESTRATIGRÁFICO E ESTRUTURAL NOS PADRÕES DE FERRUGINIZAÇÃO DA FORMAÇÃO BARREIRAS NA REGIÃO DE ICAPUÍ (CE), PORÇÃO NOROESTE DA BACIA POTIGUAR;DISSERTAÇÃO;['LETHICIA CARLOS DA SILVA FERREIRA']
PUC-RIO;Fontes de matéria orgânica de manguezais da Amazônia: utilização de proxies geoquímicos;DISSERTAÇÃO;['JORGE FRIAN DIAS JUNIOR']
UERJ;"""Simbiontes associados a ascídias solitárias na costa brasileira""";TESE;['BRENDA DOS SANTOS RAMOS']
UFPB-JOÃO PESSOA;Problemas Direto e Inverso em Sistemas Análogos da Gravitação;TESE;['SAULO SOARES DE ALBUQUERQUE FILHO']
UFPI;Caracterização de Sólitons de Bach compactos e completos;DISSERTAÇÃO;['EMANUELLY BEATRIZ RIBEIRO DOS SANTOS']
USP-SÃO CARLOS;Introdução à Homologia de Interseção;DISSERTAÇÃO;['HANA MARINHO LUCENA']
UFRN;EXPLORANDO OS CONTROLES ESTRUTURAIS E ESTRATIGRÁFICOS NO SISTEMA CÁRSTICO FURNA FEIA;TESE;['TARSILA BARBOSA DANTAS']
