Sigla da IES;Instituição;Publicação;Tipo de produção;Autores
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Enhancing Classification with Hybrid Feature Selection: A Multi-Objective Genetic Algorithm for High-Dimensional Data;DISSERTAÇÃO;['JONAS DA SILVEIRA BOHRER']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Descrição da Precipitação ocorrida durante a germinação da canola, no ano de 2022, no Centro Agropecuário da Palma - Capão do Leão - RS;DISSERTAÇÃO;['MARCOS JEAN DA SILVA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;CÁLCULOS MECÂNICOS QUÂNTICOS NO DESENVOLVIMENTO DE CAMPOS DE FORÇA PARA SÉRIE DE CRISTAIS LÍQUIDOS 3-(4-ALQUILOXIFENIL)-5-(4-ARIL)ISOXAZOL;TESE;['LEANDRO GREFF DA SILVEIRA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;“Produção de matéria escura em ressonância através de um novo mediador massivo de spin-1” (“Resonant dark matter production through a new spin-1 massive mediator”);TESE;['MARCIO DE SOUSA MATEUS JUNIOR']
UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;“ParkMapSense: Um Modelo Computacional de Mapeamento e Predição de Ocupação de Vagas de Estacionamento Rotativo Público baseado em Históricos de Contextos;DISSERTAÇÃO;['CARLOS EDUARDO LIEDTKE BORGES']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Alfaba: Desenvolvimento de uma Ferramenta Multissensorial com Interface Tangível para o Suporte à Alfabetização de Crianças com Dislexia;DISSERTAÇÃO;['LAURA QUEVEDO JURGINA']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;“PAPEL DO FITOPLÂNCTON NA DINÂMICA DO CO2 NA PROFUNDIDADE DO  MÁXIMO DA CLOROFILA-A AO LONGO DE UMA SEÇÃO ZONAL (34.5ºS) NO  OCEANO ATLÂNTICO SUL;DISSERTAÇÃO;['JOAO VITOR LANGORTE BUENO']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;NOVA ESTRÁTEGIA DE SÍNTESE DE TIOHIDANTOÍNAS: ESTUDO DA RELAÇÃO ESTRUTURA-ATIVIDADE E DOCKING MOLECULAR;DISSERTAÇÃO;['TARSIS AUGUSTO ALEXANDRE CHAGAS']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Um pipeline de aprendizado de máquina para reconhecimento de emoções com base em informações temporais e espaciais de mapas topográficos gerados a partir de sinais de eletroencefalograma;DISSERTAÇÃO;['BRUNO CASCAES ALVES']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;“IMPACTOS ECOLÓGICOS E AVALIAÇÃO DA EFICIÊNCIA DE MEDIDAS REDUTORAS DE CAPTURA INCIDENTAL NA PESCA ARTESANAL DE CAMARÃO-ROSA (Penaeus paulensis)”. ;TESE;['SAMANTA DA SILVEIRA BORGES']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Providing an energy efficient UAV BS positioning mechanism to improve wireless connectivity;TESE;['FAEZEH PASANDIDEH']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Towards Teaching Abstraction: Approaching Modeling and Problem-Solving Skills with Graph Grammars and Game-Based Learning;TESE;['BRAZ ARAUJO DA SILVA JUNIOR']
UPF;UNIVERSIDADE DE PASSO FUNDO;NATURAL LANGUAGE PROCESSING  FOR SENSITIVE DATA  RECOGNITION AND PRIVACY IN  DIGITAL DOCUMENTS;DISSERTAÇÃO;['SAMUEL ANTUNES VIEIRA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;CompOD: LGPD Compliance framework for Open Data;DISSERTAÇÃO;['SHIRLEI LUCIA OLIVEIRA DO CARMO']
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;A MODULAR ARCHITECTURE FOR THE EMULATION OF SCALABLE EDGE APPLICATIONS;TESE;['MATHEUS LYRA DA SILVA']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;BIODIVERSIDADE E BIOGEOGRAFIA DO MESOZOOPLÂNCTON AO LONGO DE UM TRANSECTO TRANSATLÂNTICO;DISSERTAÇÃO;['CLAUS INCK FREITAS FURTADO']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;Desenvolvimento e aplicação de método QuEChERS e UHPLC-MS/MS para determinação multirresíduo de agrotóxicos em polpa de açaí;TESE;['RAFAEL BEL PRESTES DA SILVA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;MODELO DEPOSICIONAL E EVOLUÇÃO BASEADOS EM ATRIBUTOS SÍSMICOS DO CANYON ALMIRANTE CÂMARA: NEÓGENO AO QUATERNÁRIO DA BACIA DE CAMPOS, BRASIL;DISSERTAÇÃO;['SAMUEL APARECIDO DA SILVA CORREA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Uma estimativa ABP para equações do tipo integro-diferencial totalmente não lineares;DISSERTAÇÃO;['ADIR MATOS DE SOUZA JUNIOR']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;CARACTERIZAÇÃO DAS ESTRUTURAS DE DEFORMAÇÃO EM SEDIMENTOS INCONSOLIDADOS EM SISTEMAS EÓLICOS ÚMIDOS, FORMAÇÃO BUENA VISTA, PERMIANO SUPERIOR DA BACIA DO PARANÁ;DISSERTAÇÃO;['GABRIEL SCHAFFER SIPP']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;Ocorrência de Ocratoxina A e perfil de ácidos fenólicos em vinho;DISSERTAÇÃO;['ELIZANGELA GONCALVES']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;OCORRÊNCIAS DE CONODONTES NO MAR DEVONIANO DA REGIÃO AMAZÔNICA, GONDWANA OCIDENTAL: BIOESTRATIGRAFIA E PALEOAMBIENTE;DISSERTAÇÃO;['JORDANA MARIA VICCARI']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;Estrutura mega porosa à base de quitosana e modificadas com nanotubos de carbono como adsorvente  do ibuprofeno;DISSERTAÇÃO;['KELI ARRUDA DA SILVA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; “Feedback de AGNs em gás molecular frio” (“AGN feedback in cold molecular gas”);TESE;['BRUNO DALL AGNOL DE OLIVEIRA']
