Unidade;Cidade
SENAI Bagé;Bagé
SENAI Madeira e Mobiliário / Giuseppe Fasolo;Bento Gonçalves
Instituto SENAI de Tecnologia em Madeira e Mobiliário;Bento Gonçalves
SENAI Cachoeira do Sul;Cachoeira do Sul
SENAI Cachoeirinha;Cachoeirinha
SENAI Cypriano Micheletto;Canoas
SENAI Carazinho;Carazinho
SENAI Automotivo - Caxias do Sul;Caxias do Sul
Instituto SENAI de Tecnologia em Mecatrônica;Caxias do Sul
SENAI Nilo Peçanha;Caxias do Sul
SENAI Erechim;Erechim
Instituto SENAI de Tecnologia em Couro e Calçado;Estância Velha
SENAI Nilo Bettanin;Esteio
SENAI Farroupilha;Farroupilha
SENAI Garibaldi;Garibaldi
SENAI Gravataí;Gravataí
SENAI Guaporé;Guaporé
SENAI Horizontina;Horizontina
SENAI Ibirubá;Ibirubá
SENAI Igrejinha;Igrejinha
SENAI Lajeado;Lajeado
SENAI Marau;Marau
SENAI Montenegro;Montenegro
SENAI Não-Me-Toque;Não-Me-Toque
SENAI Nova Prata;Nova Prata
SENAI Gustavo Copé;Novo Hamburgo
Instituto SENAI em Calçado e Logística Industrial;Novo Hamburgo
SENAI Panambi;Panambi
SENAI Passo Fundo;Passo Fundo
SENAI Pelotas;Pelotas
SENAI Artes Gráficas;Porto Alegre
SENAI Visconde de Mauá;Porto Alegre
SENAI Porto Alegre;Porto Alegre
SENAI Automotivo;Porto Alegre
SENAI Moda e Design;Porto Alegre
Faculdade SENAI;Porto Alegre
SENAI Construção Civil;Porto Alegre
SENAI Rio Grande;Rio Grande
SENAI Santa Cruz do Sul;Santa Cruz do Sul
SENAI Santa Maria;Santa Maria
SENAI Santa Rosa;Santa Rosa
SENAI Lindolfo Collor;São Leopoldo
SENAI Plínio Gilberto Kröeff;São Leopoldo
SENAI Edmundo Antônio Bins;São Leopoldo
Instituto SENAI de Inovação em Engenharia de Polímeros;São Leopoldo
Instituto SENAI de Inovação em Sistemas de Sensoriamento;São Leopoldo
Instituto SENAI de Tecnologia em Alimentos e Bebidas;São Leopoldo
Instituto SENAI de Tecnologia em Petróleo, Gás e Energia;São Leopoldo
SENAI São Marcos;São Marcos
SENAI São Sebastião do Caí;São Sebastião do Caí
SENAI Sapiranga;Sapiranga
SENAI Sapucaia do Sul;Sapucaia do Sul
SENAI Venâncio Aires;Venâncio Aires
SENAI Veranópolis;Veranópolis
