Ecossistema;Sigla;Matriculas;Nome;Cidade;Link
Central;IFFar;227;Instituto Federal De Educação, Ciência E Tecnologia Farroupilha;Santa Maria;https://www.iffarroupilha.edu.br
Central;IFFar;227;Instituto Federal de Educação, Ciência e Tecnologia Farroupilha - Campus Jaguari;Jaguari;https://www.iffarroupilha.edu.br/jaguari
Central;IFFar;227;Instituto Federal de Educação, Ciência e Tecnologia Farroupilha - Campus Júlio de Castilhos;Júlio de Castilhos;https://www.iffarroupilha.edu.br/julio-de-castilhos
Central;IFFar;227;Instituto Federal de Educação, Ciência e Tecnologia Farroupilha - Campus São Vicente do Sul;São Vicente do Sul;https://www.iffarroupilha.edu.br/sao-vicente-do-sul
Central;IFRS;570;Instituto Federal De Educação, Ciência E Tecnologia Do Rio Grande Do Sul - Campus Ibirubá;Ibirubá;https://ifrs.edu.br/ibiruba/
Central;UERGS;;Universidade Estadual Do Rio Grande Do Sul - Campus Cachoeira do Sul;Cachoeira do Sul;https://www.uergs.edu.br/cachoeira-do-sul
Central;UERGS;;Universidade Estadual Do Rio Grande Do Sul - Campus Cruz Alta;Cruz Alta;https://www.uergs.edu.br/cruz-alta
Central;UFN;64;Universidade Franciscana;Santa Maria;https://site.ufn.edu.br/
Central;UFSM;247;Universidade Federal De Santa Maria;Santa Maria;https://www.ufsm.br
Central;UFSM;247;Universidade Federal De Santa Maria - Campus Cachoeira do Sul;Cachoeira do Sul;https://www.ufsm.br/unidades-universitarias/cachoeira-do-sul
Central;ULBRA;569;Universidade Luterana Do Brasil - Campus Cachoeira do Sul;Cachoeira do Sul;https://www.ulbra.br/cachoeira-do-sul
Central;ULBRA;569;Universidade Luterana Do Brasil - Campus Santa Maria;Santa Maria;https://www.ulbra.br/santa-maria
Central;UNICRUZ;21;Universidade De Cruz Alta;Cruz Alta;https://home.unicruz.edu.br
Central;URI;208;Universidade Regional Integrada Do Alto Uruguai E Das Missões - Campus Santiago;Santiago;http://www1.urisantiago.br/
Fronteira Oeste e Campanha;EMBRAPA;;Embrapa - Pecuária Sul;Bagé;https://www.embrapa.br/pecuaria-sul
Fronteira Oeste e Campanha;IFFar;227;Instituto Federal de Educação, Ciência e Tecnologia Farroupilha - Campus Alegrete;Alegrete;https://www.iffarroupilha.edu.br/alegrete
Fronteira Oeste e Campanha;IFFar;227;Instituto Federal de Educação, Ciência e Tecnologia Farroupilha - Campus Avançado Uruguaiana;Uruguaiana;https://www.iffarroupilha.edu.br/uruguaiana
Fronteira Oeste e Campanha;IFFar;227;Instituto Federal de Educação, Ciência e Tecnologia Farroupilha - Campus São Borja;São Borja;https://www.iffarroupilha.edu.br/sao-borja
Fronteira Oeste e Campanha;IFSul;450;Instituto Federal De Educação, Ciência E Tecnologia Sul-Rio-Grandense - Campus Bagé;Bagé;http://www.bage.ifsul.edu.br/portal/
Fronteira Oeste e Campanha;IFSul;450;Instituto Federal De Educação, Ciência E Tecnologia Sul-Rio-Grandense - Campus Santana do Livramento;Santana do Livramento;http://www.santana.ifsul.edu.br/
Fronteira Oeste e Campanha;UERGS;;Universidade Estadual Do Rio Grande Do Sul - Campus Alegrete;Alegrete;https://www.uergs.edu.br/alegrete
Fronteira Oeste e Campanha;UERGS;;Universidade Estadual Do Rio Grande Do Sul - Campus Bagé;Bagé;https://www.uergs.edu.br/bage
Fronteira Oeste e Campanha;UERGS;;Universidade Estadual Do Rio Grande Do Sul - Campus Santana do Livramento;Santana do Livramento;https://www.uergs.edu.br/santana-do-livramento
Fronteira Oeste e Campanha;UERGS;;Universidade Estadual Do Rio Grande Do Sul - Campus São Borja;São Borja;https://www.uergs.edu.br/sao-borja
Fronteira Oeste e Campanha;UNIPAMPA;124;Fundação Universidade Federal Do Pampa - Unipampa;Bagé;https://unipampa.edu.br
Fronteira Oeste e Campanha;UNIPAMPA;124;Fundação Universidade Federal Do Pampa - Unipampa - Campus Alegrete;Alegrete;https://unipampa.edu.br/alegrete/
Fronteira Oeste e Campanha;UNIPAMPA;124;Fundação Universidade Federal Do Pampa - Unipampa - Campus Caçapava do Sul;Caçapava do Sul;https://unipampa.edu.br/cacapava/
Fronteira Oeste e Campanha;UNIPAMPA;124;Fundação Universidade Federal Do Pampa - Unipampa - Campus Dom Pedrito;Dom Pedrito;https://unipampa.edu.br/dompedrito/
Fronteira Oeste e Campanha;UNIPAMPA;124;Fundação Universidade Federal Do Pampa - Unipampa - Campus Itaqui;Itaqui;https://unipampa.edu.br/itaqui/
Fronteira Oeste e Campanha;UNIPAMPA;124;Fundação Universidade Federal Do Pampa - Unipampa - Campus Santana do Livramento;Santana do Livramento;https://unipampa.edu.br/livramento/
Fronteira Oeste e Campanha;UNIPAMPA;124;Fundação Universidade Federal Do Pampa - Unipampa - Campus São Borja;São Borja;https://unipampa.edu.br/saoborja/
Fronteira Oeste e Campanha;UNIPAMPA;124;Fundação Universidade Federal Do Pampa - Unipampa - Campus São Gabriel;São Gabriel;https://unipampa.edu.br/saogabriel/
Fronteira Oeste e Campanha;UNIPAMPA;124;Fundação Universidade Federal Do Pampa - Unipampa - Campus Uruguaiana;Uruguaiana;https://unipampa.edu.br/uruguaiana/
Metropolitana e Litoral Norte;AGTI;;Associação de Tecnologia do Vale do Gravataí;Gravataí;https://www.agti.net.br/
Metropolitana e Litoral Norte;Besouro;;Instituto Besouro de Fomento Social e Pesquisa;Porto Alegre;https://institutobesouro.com.br/
Metropolitana e Litoral Norte;Colégio Sinodal Prado Gravataí;;Instituto de Ciência e Tecnologia Sinodal Prado;Gravataí;https://www.sinodalprado.com.br/
Metropolitana e Litoral Norte;FACCAT;77;Faculdades Integradas de Taquara;Taquara;https://www2.faccat.br/portal/
Metropolitana e Litoral Norte;FATEC SENAI;97;Faculdade De Tecnologia Senai Porto Alegre;Porto Alegre;https://www.senairs.org.br/faculdade-senai
Metropolitana e Litoral Norte;FEEVALE;386;Universidade Feevale;Novo Hamburgo;www.feevale.br
Metropolitana e Litoral Norte;FEEVALE;386;Universidade Feevale - Campus Campo Bom;Campo Bom;https://www.feevale.br/institucional/infraestrutura/campus-iii
Metropolitana e Litoral Norte;FUC;;Fundação Universitária de Cardiologia;Porto Alegre;http://www.cardiologia.org.br/
Metropolitana e Litoral Norte;FURG;125;Universidade Federal Do Rio Grande - Campus Santo Antônio da Patrulha;Santo Antônio da Patrulha;https://www.furg.br/campus-santo-antonio-patrulha
Metropolitana e Litoral Norte;IBTEC;;Instituto Brasileiro De Tecnologia Do Couro, Calçado E Artefatos;Novo Hamburgo;https://www.ibtec.org.br/
Metropolitana e Litoral Norte;IC-FUC;;Instituto de Cardiologia - Fundação Universitária de Cardiologia;Porto Alegre;http://www.cardiologia.org.br/
Metropolitana e Litoral Norte;IEL-RS;;Núcleo Regional do Instituto Euvaldo Lodi - IEL-RS;Porto Alegre;https://www.ielrs.org.br/
