Ecossistema;Sigla;Nome;Cidade;Link
Central;CONECTA;Incubadora Tecnológica CONECTA;Cruz Alta;https://home.unicruz.edu.br/agencia-start/#incubadora-tecnologica
Central;IFFar - Campus Jaguari;IFFar - Incubadora Campus Jaguari;Jaguari;http://incubadora.iffarroupilha.edu.br
Central;IFFar - Campus São Vicente do Sul;IFFar - Incubadora Campus São Vicente do Sul;São Vicente do Sul;http://incubadora.iffarroupilha.edu.br
Central;IFRS- InoVa;IFRS - InoVa - Incubadora Tecnológica / Campus Vacaria;Vacaria;
Central;Incubadora CRESCER;Incubadora CRESCER - Universidade Regional Integrada do Alto Uruguai e das Missões - Campus Santiago;Santiago;http://www.urisantiago.br/
Central;Incubadora Social UFSM;;Santa Maria;
Central;ITEC UFN;Itec - Incubadora Tecnologica da UFN;Santa Maria;https://www.ufn.edu.br/site/inovacao/ambiente-de-inovacao
Central;Pulsar;Pulsar - Incubadora Tecnológica da UFSM;Santa Maria;https://www.ufsm.br/orgaos-suplementares/inovatec/pulsar
Fronteira Oeste e Campanha;GENUS;Incubadora Tecnológica do Campus Bagé da Unipampa - Genus;Bagé;http://incubadora.iffarroupilha.edu.br
Fronteira Oeste e Campanha;IFFar - Campus Alegrete;IFFar - Incubadora Campus Alegrete;Alegrete;http://incubadora.iffarroupilha.edu.br
Fronteira Oeste e Campanha;IFFar - Campus São Borja;IFFar - Incubadora Campus São Borja;São Borja;http://incubadora.iffarroupilha.edu.br
Fronteira Oeste e Campanha;IFFar - Campus Uruguaiana;IFFar - Incubadora Campus Uruguaiana;Uruguaiana;http://incubadora.iffarroupilha.edu.br
Fronteira Oeste e Campanha;PampaTec Incubadora;Incubadora de Empresas de Base Tecnológica do PampaTec;Alegrete;https://sites.unipampa.edu.br/pampatec/incubadora/
Metropolitana e Litoral Norte;Casa das Startups;Casa das Startups /Pradotech;Gravataí;
Metropolitana e Litoral Norte;CEI;Centro de Empreendimentos em Informática;Porto Alegre;http://www.inf.ufrgs.br/cei/
Metropolitana e Litoral Norte;HESTIA;Incubadora Hestia;Porto Alegre;https://www.ufrgs.br/hestia/
Metropolitana e Litoral Norte;IECBiot;Incubadora Empresarial do Centro de Biotecnologia da UFRGS;Porto Alegre;http://ie.cbiot.ufrgs.br/
Metropolitana e Litoral Norte;IEITEC;Instituto Empresarial de Incubação e Inovação Tecnológica;Canoas;http://www.ieitec.com.br/
Metropolitana e Litoral Norte;IFRS - IRES;IFRS - Incubadora de Redes, Empreendimentos Solidários e Inovadores no Serviço Público (IRES) / Campus Osório;Osório;
Metropolitana e Litoral Norte;IFRS - ITSR;IFRS - Incubadora Tecnológica e Social da Restinga (ITSR) / Campus Restinga (POA);Porto Alegre;
Metropolitana e Litoral Norte;IFRS - Socialtec;IFRS - Socialtec - Incubadora Social e Tecnológica de Canoas / Campus Canoas;Canoas;
Metropolitana e Litoral Norte;IFSul - Incubadora Multisetorial SEED;IFSul - Incubadora Multisetorial SEED / Campus Sapiranga;Sapiranga;
Metropolitana e Litoral Norte;IMZ;UFRGS-IMZ;Porto Alegre;
Metropolitana e Litoral Norte;Incubadora Tecnológica da Feevale;Incubadora Tecnológica da Feevale;Campo Bom;https://feevaletechpark.com.br/unidades-parque-tecnologico/incubadora-tecnologica/
Metropolitana e Litoral Norte;Incubadora Tecno-Social (ITS);;Porto Alegre;
Metropolitana e Litoral Norte;ITACA;Incubadora Tecnológica de Alimentos e Cadeias Agroindustriais;Porto Alegre;http://www.ufrgs.br/itaca
Metropolitana e Litoral Norte;ITCP;Incubadora Tecnológica de Cooperativas Populares;Porto Alegre;https://www.ufrgs.br/neaitcp/
Metropolitana e Litoral Norte;ITEL;Incubadora Tecnológica Liberato;Novo Hamburgo;http://www.incubadoraliberato.com.br/
Metropolitana e Litoral Norte;LA SALLE TECH;Incubadora de Startups;Canoas;https://www.unilasalle.edu.br/canoas/servicos/la-salle-tech
Metropolitana e Litoral Norte;ParanhanaTEC;FACCAT - Faculdades Integradas de Taquara;Taquara;https://paranhanatec.faccat.br/
Metropolitana e Litoral Norte;Raiar;Incubadora Multissetorial de Empresas de Base Tecnológica e Inovação da PUCRS - RAIAR;Porto Alegre;https://tecnopuc.pucrs.br/ecossistema-tecnopuc/tecnopuc-startups/
Metropolitana e Litoral Norte;STARTS -HCPA;STARTS Hospital de Clínicas de Porto Alegre;Porto Alegre;
Metropolitana e Litoral Norte;ULBRATECH - Canoas;Ulbratech Incubadora Canoas;Canoas;https://www.ulbratech.com.br/br/canoas.html
Metropolitana e Litoral Norte;ULBRATECH - Gravataí;Ulbratech Incubadora Gravataí;Gravataí;https://www.ulbratech.com.br/br/gravatai.html
Metropolitana e Litoral Norte;ULBRATECH - Torres;Ulbratech Incubadora Torres;Torres;https://www.ulbratech.com.br/br/torres.html
Metropolitana e Litoral Norte;UNITEC;Unidade de Inovação e Tecnologia;São Leopoldo;https://www.tecnosinos.com.br/programa-de-incubacao/
Noroeste e Missões;Criatec - Ijuí;Incubadora de Empresas de Inovação Tecnológica;Ijuí;http://criatecunijui.com.br/
Noroeste e Missões;Criatec - Santa Rosa;Incubadora de Empresas de Inovação Tecnológica;Santa Rosa;http://criatecunijui.com.br/
Noroeste e Missões;IATI-FEMA;Incubadora Acadêmica de Tecnologia e Inovação - IATI;Santa Rosa;https://www.iatifema.com.br/
Noroeste e Missões;IFFar - Campus Panambi;IFFar - Incubadora Campus Panambi;Panambi;http://incubadora.iffarroupilha.edu.br
Noroeste e Missões;IFFar - Campus Santa Rosa;IFFar - Incubadora Campus Santa Rosa;Santa Rosa;http://incubadora.iffarroupilha.edu.br
Noroeste e Missões;IFFar - Campus Santo Ângelo;IFFar - Incubadora Campus Santo Ângelo;Santo Ângelo;http://incubadora.iffarroupilha.edu.br
Noroeste e Missões;IFFar - Campus Santo Augusto;IFFar - Incubadora Campus Santo Augusto;Santo Augusto;http://incubadora.iffarroupilha.edu.br
Noroeste e Missões;INOVACHI;Incubadora Municipal de Empresas de Chiapetta;Chiapetta;http://chiapetta.rs.gov.br/incubadora
Noroeste e Missões;ITEC - SETREM;Incubadora Tecnológica - SETREM;Três de Maio;https://setrem.edu.br/incubadora/
Noroeste e Missões;URINOVA;Incubadora de Empresas de Base Tecnológica da URI Santo Ângelo;Santo Ângelo;http://urinova.san.uri.br/
Noroeste e Missões;URISTART;URI - Uristart / Campus São Luiz Gonzaga;São Luiz Gonzaga;
Produção e Norte;CIT;CIT - Centro de Inovação e Tecnologia de Erechim;Erechim;https://www.upf.br/upfparque/incubadora/apresentacao
