UNIVERSIDADE;CURSO;BOLSA DE ESTUDOS;SITUAÇÃO
UFSM;Ciência da Computação;10;Aprovado
UFSM;Engenharia da Computação;10;Aprovado
UFSM - Campus Sede;Engenharia Elétrica;10;Aprovado
UFSM - Campus Cachoeira do Sul;Engenharia Elétrica;10;Aprovado
UFSM;Engenharia Química;10;Aprovado
UFRGS;Ciência da Computação;20;Aprovado
UFRGS;Engenharia da Computação;15;Aprovado
UFRGS;Engenharia Elétrica;18;Aprovado
UFRGS;Engenharia Mecânica;20;Aprovado
UERGS;Engenharia de Controle e Automação;10;Aprovado
UERGS;Engenharia da Computação;7;Aprovado
FURG;Engenharia Mecânica;15;Aprovado
FURG;Engenharia Química;15;Aprovado
UFPEL;Engenharia de Controle e Automação;15;Aprovado
UFPEL;Engenharia Eletrônica;15;Aprovado
UNILASALLE;Ciência da Computação;20;Aprovada
UFN;Ciência da Computação;16;Aprovada
UNISC;Ciência da Computação;13;Aprovada
UNISC;Engenharia Mecânica;13;Aprovada
UNIVATES;Engenharia da Computação;7;Aprovada
UNIVATES;Engenharia Elétrica;7;Aprovada
UNIVATES;Engenharia Mecânica;6;Aprovada
UNIVATES;Engenharia Química;7;Aprovada
URI - SANTIAGO;Ciência da Computação;-;Desclassificada
FEEVALE;Engenharia da Computação;-;Desclassificada
FEEVALE;Ciência da Computação;6;Aprovada
FEEVALE;Engenharia Elétrica;6;Aprovada
FEEVALE;Engenharia Mecânica;6;Aprovada
FEEVALE;Engenharia Química;6;Aprovada
UNISINOS;Engenharia Mecânica;1;Aprovada
UNISINOS;Engenharia Química;5;Aprovada
UNISINOS;Engenharia Elétrica;6;Aprovada
UNISINOS;Engenharia da Computação;5;Aprovada
UNISINOS;Ciência da Computação;1;Aprovada
UNISINOS;Engenharia de Controle e Automação;6;Aprovada
PUCRS;Engenharia Mecânica;7;Aprovada
PUCRS;Engenharia Química;6;Aprovada
PUCRS;Ciência da Computação;7;Aprovada
PUCRS;Engenharia da Computação;7;Aprovada
UCS - Campus Caxias;Ciência da Computação;4;Aprovada
UCS - Campus Caxias;Engenharia de Computação;5;Aprovada
UCS - Campus Caxias;Engenharia de Controle e Automação;4;Aprovada
UCS - Campus Caxias;Engenharia Elétrica;4;Aprovada
UCS - Campus Caxias;Engenharia Mecânica;5;Aprovada
UCS - Campus Caxias;Engenharia Química;5;Aprovada
UCS - Campus Bento Gonçalves;Ciência da Computação;4;Aprovada
UCS - Campus Bento Gonçalves;Engenharia Elétrica;5;Aprovada
