Central;Fenarroz;
Central;Techstars Startup Santa Maria;
Central;Techstars Startup Weekend Santiago;
Central;Santa Summit;
Central;Fenatrigo;
Campanha e Fronteira Oeste;Rota da Inovação Kids 2025 - Edição Especial Dom Pedrito - Pampa em Evolução - Arena do Conhecimento;
Campanha e Fronteira Oeste;5º Ideathon Uruguaiana;
Campanha e Fronteira Oeste;Universo Pecuária;
Metropolitana e Litoral Norte;Sapiranga Summit;
Metropolitana e Litoral Norte;Taquara Summit;
Metropolitana e Litoral Norte;Expointer;
Metropolitana e Litoral Norte;Feevale Summit - Novo Hamburgo;
Metropolitana e Litoral Norte;Oktober Summit - Igrejinha;
Metropolitana e Litoral Norte;Health Meeting;
Noroeste e Missões;Hortigranjeiros;
Noroeste e Missões;Noroeste Summit;
Produção e Norte;ImpactaCoop;
Produção e Norte;Encontro Abelheiro;
Produção e Norte;Ere Tech Summit;
Produção e Norte;Feitech;
Serra Gaúcha;Festival Internacional Folclore;
Serra Gaúcha;FIMMA;
Serra Gaúcha;Fenamarco;
Serra Gaúcha;Mercopar;
Serra Gaúcha;Festuris;
Sul;FENAGEN 2025;
Sul;FENADOCE;
Sul;4º TECHBUSINESS;
Sul;Rotas da Inovação 2025 - Região Sul;
