Nome;Titulação;Pesquisador;Projetos Ativos
Adriana Speggiorin;Mestrado;Sim;"Núcleo de Estudos,Pesquisa e Assessoria em Estatística (NEPAE)"
Alexandre Erasmo Krohn Nascimento;Mestrado;Não;"Hospitalidade e cultura,Biopolítica: das drogas e dos alimentos,Poética da hospitalidade (PIBIC/CNPq)"
Alzeri Luis Branco;Especialização;Não;
André Brayner de Farias;Doutorado;Não;
André Gustavo Adami;Doutorado;Sim;"Tecnologias de manufatura avançadas aplicadas ao desenvolvimento de dispositivos de adequação postural para pacientes em leitos de UTI"
André Luis Martinotto;Doutorado;Sim;"Estruturas cristalinas e diagrama de fases do flúor,Física de Materiais"
André Mauro Santos de Espíndola;Mestrado;Sim;"
Inteligência Estratégica Coletiva no Setor Vitivinícola: Análise e uso De Indicadores para a Competitividade Setorial,Modelos Estocásticos para a Análise da Informação nos Processos de Inteligência Estratégica,
Formulação de modelos de previsão e cenários através de técnicas estatísticas e gestão do conhecimento como ferramenta de Gestão, Inovação Tecnológica e Viabilidade Econômica"
Angelo Zerbetto Neto;Mestrado;Não;
Anthony Beux Tessari;Doutorado;Sim;"História da Sociedade Esportiva e Recreativa Santa Lúcia"
Carine Geltrudes Webber;Doutorado;Sim;"Rede de Inteligência Artificial Ética e Segura ? RAIES,AI-Robot - Inteligência Artificial e Robótica no Ensino de Ciências e Matemática,SmartClass - Integração de tecnologias de IoT e Inteligência Artificial nos Ambientes de Ensino"
Clarissa Giuliani Scherer;Mestrado;Sim;"VULNERA - VULNERABILIDADE E CLÍNICA-ESCOLA: UMA RESPOSTA DE ATENÇÃO À POPULAÇÃO"
Claudia Maria Hansel;Doutorado;Sim;"TRATAMENTO DE SITUAÇÕES DE SUPERENDIVIDAMENTO DO CONSUMIDOR EM CAXIAS DO SUL E FARROUPILHA"
Cristiane Marin;Doutorado;Não;
Cristine Fortes Lia;Doutorado;Sim;"
Literaturas africanas e educação antirracista,
Mobilidade humana: acolhimento aos migrantes na Serra Gaúcha,Religiões e migrações no ensino de História"
Daniel Antonio Faccin;Especialização;Sim;"Elicitação de Requisitos"
Daniel Corteletti;Mestrado;Não;
Daniel Luís Notari;Doutorado;Sim;"
AGROCITY - Agricultura Inteligente em Cidades,Cidades Resilientes,DataLink Innovation: uma plataforma de conexão de atores do ecossistema de inovação de Caxias do Sul,CityLifeLab Dados Pesquisas e Projetos"
Diego Piazza;Doutorado;Sim;"PPGRAPHE - FORD MAI DAI CNPq,NANOADITIVOS - MAI DAI CNPq,GRAPHUCS - Desenvolvimento de nanocompósitos poliméricos contendo grafeno funcionalizado para aplicação emtratamento cutâneo e medicina regenerativa,Desenvolvimento de uma tinta inteligente a partir de nanocompósitos poliméricos contendo grafeno aplicado a tinta em pó,MAPEAMENTO E DESENVOLVIMENTO DO ECOSSISTEMA DE INOVAÇÃO DA REGIÃO DA SERRA E HORTÊNSIAS INOVA RS,ADESIVONANO - AVALIAÇÃO DO DESEMPENHO ANTICORROSIVO DE ADESIVO POLIURETANO NANOESTRUTURADO,EFEITO DOS ADITIVOS ANTIOXIDANTE E PRÓ-OXIDANTE NA FOTODEGRADAÇÃO E DEGRADAÇÃO EM AMBIENTE MARINHO E NA RECICLABILIDADE DO POLIPROPILENO,
Obtenção e caracterização de nanocompósitos poliméricos contendo uma carga de origem de fonte renovável aplicados a tinta em pó,Obtenção e caracterização de nanocompósitos poliméricos contendo uma carga de origem de fonte renovável aplicados a tinta em pó,OBTENÇÃO E CARACTERIZAÇÃO DE LAJOTAS E ARGAMASSA DE RESÍDUOS DE POLIESTIRENO E POLIPROPILENO COM APLICAÇÃO NO SETOR CONSTRUÇÃO CIVIL COM VISTAS A SUSTENTABILIDADE,OBTENÇÃO E CARACTERIZAÇÃO DE NANOCOMPÓSITOS DE RESINA EPÓXI/MONTMORILONITA (MMT) APLICADOS EM TINTA EM PÓ"
Eliana Andrade Lima Panozzo;Mestrado;Não;
Elisa Boff;Doutorado;Sim;"
CienMatSL - Smart Learning : construindo ambientes de aprendizagem ativa para o ensino de Ciências e Matemática,A mineração de dados educacionais e mineração de textos no apoio a atividades de produção textual,SmartClass - Integração de tecnologias de IoT e Inteligência Artificial nos Ambientes de Ensino,Objetos Significativos de Aprendizagem em Física,Gamification2 - Gamificação dos Espaços de Aprendizagem"
Evaldo Antônio Kuiava;Doutorado;Sim;"Ética Inteligência Artificial e Dignidade Humana,Ética e Inteligência Artificial,Ética dos deveres: teoria kantiana da obrigação moral"
Fábio Verruck,Doutorado;Sim;"Gestão da qualidade e competitividade no ensino,
CityGuide - Guidelines for planning Smart Cities at different levels of infrastructure available: a systemic approach,Comportamento do consumidor e desempenho organizacional em novos contextos e mercados,
Sistema de coleta de dados por dispositivos IoT (sensoriamento) para cidades inteligentes,PRÁTICAS DE INOVAÇÃO E DESEMPENHO INTERNACIONAL: UM ESTUDO EM INDÚSTRIAS DO SETOR METAL-MECÂNICO DO SUL DO BRASIL (INOVA-DI)"
Felipe Taufer;Doutorado;Sim;"O passado e o presente da contradição: ferramenta conceito ou realidade?,Filosofia Prática e Filosofia Social no Idealismo Alemão e na Teoria Crítica,Políticas Públicas Normatividade e o Problema do Risco"
Fernando Sidnei Fantinel;Doutorado;Não;
Giovanni Ely Rocco;Mestrado;Não;
Grasiele Pavan;Mestrado;Não;
Guilherme Holsbach Costa;Doutorado;Sim;"Desgaste e qualidade superficial com ferramentas de metal-duro polidas - POLITOOL,Super-Resolução de Imagens de Tomografia por Impedância Elétrica"
Helena Graziottin Ribeiro;Doutorado;Sim;"
Rede de Inteligência Artificial Ética e Segura - RAIES"
Heston Silveira;Mestrado;Não;
Idair Gaudêncio Girardi Guasselli;Doutorado;Não;
Idalgo José Sangalli;Doutorado;Sim;"A ÉTICA DAS VIRTUDES: A RELAÇÃO ENTRE ESTOICISMO E CRISTIANISMO,A ÉTICA DAS VIRTUDES A incontinência a acídia e as formas de amizade na filosofia moral de Tomás de Aquino - Beatitude III,A ÉTICA DAS VIRTUDES - Da Phronesis e Eudaimonia à Prudentia e Beatitudo (Beatitude)"
Iraci Cristina da Silveira De Carli;Doutorado;Sim;"Tech Citrus,Projeto wSoft - Metodologia Ágil,
AGRO-SIS - Integração de Sistemas de Informação através de uma Arquitetura Multiagentes"
Itamar Soares Veiga;Doutorado;Sim;"
Heidegger e Foucault - Lições para a Contemporaneidade"
