Ecossistema;Nome;Cidade;Link
Central;CRESCER;Santiago;http://www.urisantiago.br/
Central;IFFar - Campus Jaguari;Jaguari;http://incubadora.iffarroupilha.edu.br
Central;IFFar - Campus São Vicente do Sul;São Vicente do Sul;http://incubadora.iffarroupilha.edu.br
Central;IFFar - Júlio de Castilhos;Júlio de Castilhos;http://incubadora.iffarroupilha.edu.br
Central;InovAMF;Restinga Sêca;https://faculdadeamonline.com.br/inovamf/
Central;ITEC UFN;Santa Maria;https://www.ufn.edu.br/site/inovacao/ambiente-de-inovacao
Central;Pulsar;Santa Maria;https://www.ufsm.br/orgaos-executivos/agittec/pulsar-incubadora-da-ufsm/
Fronteira Oeste e Campanha;IFFar - Campus Alegrete;Alegrete;http://incubadora.iffarroupilha.edu.br
Fronteira Oeste e Campanha;IFFar - Campus São Borja;São Borja;http://incubadora.iffarroupilha.edu.br
Fronteira Oeste e Campanha;IFFar - Campus Uruguaiana;Uruguaiana;http://incubadora.iffarroupilha.edu.br
Fronteira Oeste e Campanha;PampaTec Incubadora;Alegrete;http://porteiras.s.unipampa.edu.br/pampatec/incubadora/
Metropolitana e Litoral Norte;BASE ESPM;Porto Alegre;https://www.facebook.com/pages/category/School/I-LAB-ESPM-513326445487815/
Metropolitana e Litoral Norte;CEI;Porto Alegre;http://www.inf.ufrgs.br/cei/
Metropolitana e Litoral Norte;Germina;Tramandaí;http://www.ufrgs.br/germina
Metropolitana e Litoral Norte;HESTIA;Porto Alegre;https://www.ufrgs.br/hestia/
Metropolitana e Litoral Norte;IECBiot;Porto Alegre;http://ie.cbiot.ufrgs.br/
Metropolitana e Litoral Norte;IEITEC;Canoas;http://www.ieitec.com.br/
Metropolitana e Litoral Norte;Incubadora Tecnológica da Feevale;Campo Bom;https://www.feevale.br/techpark/unidades/incubadora-tecnologica
Metropolitana e Litoral Norte;ITACA;Porto Alegre;http://www.ufrgs.br/itaca
Metropolitana e Litoral Norte;ITCP;Porto Alegre;https://www.ufrgs.br/neaitcp/
Metropolitana e Litoral Norte;ITEL;Novo Hamburgo;http://www.incubadoraliberato.com.br/
Metropolitana e Litoral Norte;LA SALLE TECH;Canoas;https://www.unilasalle.edu.br/canoas/servicos/la-salle-tech
Metropolitana e Litoral Norte;ParanhanaTEC;Igrejinha;https://paranhanatec.faccat.br/
Metropolitana e Litoral Norte;Raiar;Porto Alegre;https://www.pucrs.br/raiar
Metropolitana e Litoral Norte;ULBRATECH - Canoas;Canoas;https://www.ulbratech.com.br
Metropolitana e Litoral Norte;ULBRATECH - Gravataí;Gravataí;https://www.ulbratech.com.br/br/unidade.php?codigo=3
Metropolitana e Litoral Norte;ULBRATECH - Torres;Torres;https://www.ulbratech.com.br/br/unidade.php?codigo=8
Metropolitana e Litoral Norte;UNITEC;São Leopoldo;http://www.tecnosinos.com.br/unitec/
Noroeste e Missões;Criatec - Ijuí;Ijuí;http://www.projetos.unijui.edu.br/incubadora/
Noroeste e Missões;Criatec - Santa Rosa;Santa Rosa;http://www.projetos.unijui.edu.br/incubadora/
Noroeste e Missões;Horizonte - FAHOR;Horizontina;http://www.ambienteempreendedor.com.br/
Noroeste e Missões;IATI-FEMA;Santa Rosa;http://www.fema.com.br/site/
Noroeste e Missões;IFFar - Campus Panambi;Panambi;http://incubadora.iffarroupilha.edu.br
Noroeste e Missões;IFFar - Campus Santa Rosa;Santa Rosa;http://incubadora.iffarroupilha.edu.br
Noroeste e Missões;IFFar - Campus Santo Ângelo;Santo Ângelo;http://incubadora.iffarroupilha.edu.br
Noroeste e Missões;IFFar - Campus Santo Augusto;Santo Augusto;http://incubadora.iffarroupilha.edu.br
Noroeste e Missões;INOVACHI;Chiapetta;http://chiapetta.rs.gov.br/incubadora
Noroeste e Missões;ITEC - SETREM;Três de Maio;http://websites.setrem.com.br/incubadora
Noroeste e Missões;URINOVA;Santo Ângelo;https://urinova.san.uri.br
Produção e Norte;Conecta;Passo Fundo;https://www.upf.br/upfparque/incubadora/apresentacao
Produção e Norte;IFFar - Campus Frederico Westphalen;Frederico Westphalen;http://incubadora.iffarroupilha.edu.br
Produção e Norte;INCUBATEC;Passo Fundo;https://www.imed.edu.br/incubatec
Produção e Norte;ULBRATECH - Carazinho;Carazinho;https://www.ulbratech.com.br/br/unidade.php?codigo=2
Serra Gaúcha;ITEC/UCS;Caxias do Sul;https://www.ucs.br/site/tecnoucs/itec/
Sul;CIEMSUL;Pelotas;http://ciemsul.ucpel.edu.br/
Sul;Conectar;Pelotas;http://wp.ufpel.edu.br/conectar/
Sul;INNOVATIO;Rio Grande;https://www.innovatio.furg.br
Vales;Inovates;Lajeado;http://www.inovates.com.br/
Vales;ITUNISC;Santa Cruz do Sul;http://www.unisc.br/pt/pesquisa/ambientes-de-inovacao/incubadora-tecnologica
