Ecossistema;Cidade;Link;Estágio de Maturidade;Modelo de Negócio;Segmento;Vertical;Público-alvo;Startup;Ambiente de Inovação
Central;Santa Maria;;Validação;Transação;Marketing e Publicidade;MarTech;B2B;4SC;NÃO INFORMADO
Central;Santa Maria;;Validação;Transação;Alimentos e Bebidas;RetailTech;B2B;Abbraccio Mercatto;NÃO INFORMADO
Central;Não-Me-Toque;https://agrobi.net;Crescimento;SaaS;Agronegócio;AgTech;B2B2C;AGROBI;PLATAFORMA
Central;Santa Maria;https://agrodtech.com.br/;Validação;Software House;Agronegócio;AgTech;B2B;AgroCloud;NÃO INFORMADO
Central;Santa Maria;;Validação;Assinatura;Agronegócio;AgTech;B2B;Agroclube;NÃO INFORMADO
Central;Santa Maria;;Validação;Transação;Consultorias e Treinamentos;AgTech;B2B;AgroKapital;NÃO INFORMADO
Central;Santa Maria;https://www.aimanagers.club/;Crescimento;Assinatura;IA (Inteligência Artificial);MarTech;B2B;AI Managers;NÃO INFORMADO
Central;Santa Maria;;Validação;Não Informado;Agronegócio;AgTech;B2B;Aliagro;NÃO INFORMADO
Central;Santa Maria;https://www.alloy.al/;Crescimento;SaaS;Comércio e Varejo;Foodtech;B2B;Alloy;VENTIUR
Central;Santa Maria;https://www.any3.com.br/;Validação;SaaS;Financeiro;FinTech;B2B e B2C;Any3 Gestão;NÃO INFORMADO
Central;Santa Maria;https://aproveitamais.lapinf.ufn.edu.br/;Crescimento;Não Informado;Meio Ambiente e Sustentabilidade;GreenTech;B2C;Aproveita+;NÃO INFORMADO
Central;Santa Maria;https://www.arbosananaturalcare.com.br/;Crescimento;Negócio Socioambiental;Estética e Beleza;HealthTech;B2B e B2C;Arbosana;ITEC PARK UFN
Central;Santa Maria;;Ideação;Não Informado;Software e Cloud;AgTech;B2G;Arion Mais;NÃO INFORMADO
Central;Santa Maria;https://auftek.com/;Crescimento;Transação;Hardware e Eletrônicos;DeepTech;B2B e B2G;Auftek;PULSAR
Central;Santa Maria;https://www.austertecnologia.com/;Crescimento;Pay-per-use;Agronegócio;AgTech;B2C;Auster;PULSAR
Central;Santa Maria;https://www.linkedin.com/company/b2cobrancas/;Escala;SaaS;Financeiro;FinTech;B2B2C;B2 Inteligência em Cobrança;NÃO INFORMADO
Central;Santa Maria;https://bancotuo.com.br/;Crescimento;Não Informado;Financeiro;FinTech;B2B;Banco tuo;NÃO INFORMADO
Central;Santa Maria;https://www.instagram.com/beew.ise;Ideação;SaaS;IoT (Internet das Coisas);AgTech;B2C;BeeWise;PLATAFORMA
Central;Santa Maria;https://www.benkin.com.br/;Ideação;Não Informado;Software e Cloud;FinTech;B2B e B2C;Benkin Solutions;NÃO INFORMADO
Central;Santa Maria;https://webapp.biodos.com.br/home;Validação;Outros;Hardware e Eletrônicos;DeepTech;B2B e B2G;Biodos;PULSAR
Central;Santa Maria;https://www.bionfarm.com/;Validação;Pay-per-use;Biotecnologia;BioTech;B2B;Bionfarm;PULSAR
Central;Santa Maria;;Validação;E-commerce;Biotecnologia;BioTech;B2C;Bio'on;PULSAR
Central;Santa Maria;https://www.bl2.org/;Crescimento;Não Informado;Consultorias e Treinamentos;RegTech;B2B;BL2 LGPD;NÃO INFORMADO
Central;Jaguari;https://www.instagram.com/buenaondaagroflorestal/;Crescimento;Negócio Socioambiental;Agronegócio;Climate Tech;B2B e B2C;Buena Onda Agroflorestal;IFFAR JAGUARI
Central;Santa Maria;;Validação;Não Informado;Meio Ambiente e Sustentabilidade;GreenTech;B2B;C&G Soluções Ambientais;NÃO INFORMADO
Central;Santa Maria;https://chartei.com/software-para-quadras;Validação;Assinatura;Educação e Ensino;EdTech;B2B;Chartei;PULSAR
Central;Formigueiro;https://chatoncloud.com.br/;Crescimento;SaaS;Mídia e Comunicação;RetailTech;B2B e B2G;Chat On Cloud;PLATAFORMA
Central;Santa Maria;https://ciclano.io/;Escala;Assinatura;Marketing e Publicidade;MediaTech;B2B;Ciclano;VENTIUR
Central;Santa Maria;https://queroclubepet.com.br/;Crescimento;Assinatura;Comércio e Varejo;PetTech;B2B e B2C;Clube Pet;NÃO INFORMADO
Central;Santa Maria;;Validação;Franquia;Educação e Ensino;EdTech;B2C;Colina Desenvolvimento Infantil;PULSAR
Central;Santa Maria;;Crescimento;SaaS;Meio Ambiente e Sustentabilidade;EsgTech;B2B;Connect Sust;PULSAR
Central;Santa Maria;https://www.linkedin.com/company/connect-sust/about/;Crescimento;Não Informado;Meio Ambiente e Sustentabilidade;EsgTech;B2B;ConnectSust;NÃO INFORMADO
Central;Santa Maria;https://consignadoapp.com.br/;Validação;SaaS;Financeiro;FinTech;B2B;ConsignadoAPP;NÃO INFORMADO
Central;Santa Maria;https://contdigital.com.br/home;Escala;Assinatura;Financeiro;FinTech;B2B;ContDigital;ITEC PARK UFN
Central;Formigueiro;https://contrataai.com/;Crescimento;SaaS;Software e Cloud;RetailTech;B2B e B2G;Contrata Aí;PLATAFORMA
Central;Santa Maria;https://cotaagro.com/;Crescimento;Não Informado;Agronegócio;AgTech;B2B;Cota Agro;NÃO INFORMADO
Central;Santa Maria;;Crescimento;SaaS;Agronegócio;AgTech;B2B e B2C;Cowmed;NÃO INFORMADO
Central;Santa Maria;https://www.cropsteam.com/;Validação;Não Informado;Agronegócio;AgTech;B2B;Crops Team;NÃO INFORMADO
Central;Santa Maria;http://defii.com.br/index.html;Escala;Não Informado;Software e Cloud;ITTech;B2B e B2C;Defii;PULSAR
Central;Santa Maria;https://deliveryvip.com.br/;Crescimento;SaaS;Comércio e Varejo;Foodtech;B2B;DeliveryVip;NÃO INFORMADO
Central;Júlio de Castilhos;https://designmidia.com.br/;Validação;Não Informado;Mídia e Comunicação;ITTech;B2B e B2C;designMidia;NÃO INFORMADO
Central;Santa Maria;https://maissoja.com.br/;Crescimento;Assinatura;Educação e Ensino;AgTech;B2B e B2C;Diferencial AGR (+SOJA);PULSAR
Central;Santa Maria;http://www.doisac.com;Crescimento;Outros;Comunicação;EdTech;B2B e B2C;Dois Atitude Criativa;NÃO INFORMADO
Central;Não-Me-Toque;https://www.linkedin.com/company/dronesforagro/?originalSubdomain=br;Crescimento;Não Informado;Agronegócio;AgTech;B2B;Drones for Agro;NÃO INFORMADO
Central;Santa Maria;https://www.instagram.com/ecobiomicroalgas/;Validação;Outros;Meio Ambiente e Sustentabilidade;GreenTech;Não Informado;Eco Bio Microalgas;PLATAFORMA
Central;Santa Maria;https://www.ecoscertificadodigital.com/;Crescimento;Transação;Software e Cloud;RegTech;B2B e B2C;Ecos Certificado Digital;ITEC PARK UFN
Central;Santa Maria;https://egestor.com.br/;Validação;Não Informado;Software e Cloud;EdTech;B2B;egestor;NÃO INFORMADO
Central;Santa Maria;;Ideação;Outros;Aeroespacial;SpaceTech;B2B e B2G;Engesa;PULSAR
Central;Santa Maria;;Ideação;Assinatura;Educação e Ensino;EdTech;B2B e B2G;E-tics;PULSAR
Central;Santa Maria;;Validação;Advertising;Agronegócio;AgTech;B2B e B2G;Farm 360;PULSAR
Central;Santiago;https://financeiramente.app/;Validação;Assinatura;Comércio e Varejo;ITTech;B2B e B2C;Financeiramente Tecnologia;NÃO INFORMADO
Central;Santa Maria;;Escala;Transação;IoT (Internet das Coisas);EnergyTech;B2B;FoxIoT;PULSAR
Central;Santa Maria;;Crescimento;Transação;Indústria 4.0;IndTech;B2B e B2G;G2W Sistema;PULSAR
Central;Santa Maria;https://www.instagram.com/geracaof5_/;Crescimento;SaaS;RH e Coaching;HRTech;B2B;Geração F5;LAB FECOMÉRCIO-RS
Central;Santa Maria;;Ideação;Não Informado;Software e Cloud;ITTech;B2C;GestFair;PULSAR
Central;Santa Maria;;Escala;E-commerce;Comércio e Varejo;SalesTech;B2B;Get Commerce;PULSAR
Central;Santa Maria;https://growth4startups.com.br;Escala;Não Informado;Consultorias e Treinamentos;SalesTech;B2B;GROWTH4STARTUPS;NÃO INFORMADO
Central;Santa Maria;https://farmcont.com.br/;Validação;Assinatura;Software e Cloud;AgTech;B2C;GRUPO PARVIN | FARMCONT;NÃO INFORMADO
Central;Santa Maria;;Ideação;Assinatura;IA (Inteligência Artificial);SalesTech;B2B e B2C;Hórus;PULSAR
Central;Santa Maria;;Validação;Não Informado;Software e Cloud;ITTech;B2C;Imgnation;NÃO INFORMADO
Central;São João do Polêsine;https://www.impare.com.br/;Não Informado;Não Informado;Educação e Ensino;EdTech;B2B e B2C;IMPARE;INSTITUTO CALDEIRA
Central;Santa Maria;https://www.facebook.com/Inocular.solucoesagricolasltda/;Crescimento;Custo por Aquisição;Agronegócio;AgTech;B2B e B2C;Inocular;PULSAR
Central;Santa Maria;https://www.instabov.com.br/;Crescimento;Custo por Aquisição;Agronegócio;AgTech;B2B e B2C;Instabov;PULSAR
Central;Santa Maria;;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Inverse VR;NÃO INFORMADO
Central;Santa Maria;https://kreska.com.br/;Validação;Assinatura;Educação e Ensino;EdTech;A2A;Kreska;PULSAR
Central;Santa Maria;;Validação;Assinatura;Software e Cloud;PropTech;B2B e B2C;Laft21;NÃO INFORMADO
